gid,latitude,longitude,Estado de Conservacao,Tipo de Abrigo,Abrigo com Publicidade?,Operadora,Carreira,Codigo de Rua,Nome da Rua,Freguesia
825,-107055.50456594217,-104067.91249783145,Bom,Sem Abrigo,No,SCoTTURB,467,1338,Avenida Gon̤alves Zarco,
523,-107058.08,-103860.82,Bom,Sem Abrigo,No,SCoTTURB,467,1404,Rua Norton de Matos,"Oeiras e Ṣo Julịo da Barra, Pa̤o de Arcos e Caxias"
824,-107062.58,-104020.28,Bom,Fechado dos Lados,No,SCoTTURB,467,1338,Avenida Gon̤alves Zarco,
921,-107096.82640151314,-103853.54646127202,Bom,Sem Abrigo,No,SCoTTURB,467,1404,Rua Norton de Matos,"Oeiras e Ṣo Julịo da Barra, Pa̤o de Arcos e Caxias"
495,-107142.69,-103759.12,Bom,Fechado dos Lados,Yes,SCoTTURB,467,1421,Rotunda da Quinta do Marqu̻s,"Oeiras e Ṣo Julịo da Barra, Pa̤o de Arcos e Caxias"
507,-107368.48,-103668.54,Bom,Fechado dos Lados,No,SCoTTURB,467,1426,Avenida da Rep̼blica,"Oeiras e Ṣo Julịo da Barra, Pa̤o de Arcos e Caxias"
509,-107387.31,-103679.6,Bom,Fechado dos Lados,Yes,SCoTTURB,467,1426,Avenida da Rep̼blica,"Oeiras e Ṣo Julịo da Barra, Pa̤o de Arcos e Caxias"
508,-107491.16,-103120.89,Bom,Fechado dos Lados,Yes,SCoTTURB,467,1426,Avenida da Rep̼blica,"Oeiras e Ṣo Julịo da Barra, Pa̤o de Arcos e Caxias"
924,-107625.08,-103117.77,Bom,Fechado dos Lados,No,SCoTTURB,467,1431,Avenida Salvador Allende,"Oeiras e Ṣo Julịo da Barra, Pa̤o de Arcos e Caxias"
513,-107854.63,-102915.29,Bom,Fechado dos Lados,Yes,SCoTTURB,467,1422,Rua da Quinta Grande,"Oeiras e Ṣo Julịo da Barra, Pa̤o de Arcos e Caxias"
